"Фотографии";"Короткое название";"Артикул";"Бренд";"Цена_Розничная";"Цена_Зачеркнутая";"Цена_Трансазия";"Характеристики";"Описание товара";"Категории";"Основная категория";"Показывать товар"
"/storage/photo/original/h/whiskas-podushechki-s-pashtetom-dlya-koshek-starshe-7-let-assorti-s-myasom-ptici-350-g.jpg;
/storage/photo/original/h/whiskas-podushechki-s-pashtetom-dlya-koshek-starshe-7-let-assorti-s-myasom-ptici-350-g_41.jpg";"WHISKAS подушечки с паштетом для кошек старше 7 лет Ассорти с мясом птицы 350 г";610466;"WHISKAS";106;0;85;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:Вкусные подушечки;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607060000000;
(Характеристики товара (Зоотовары))Вес:350 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Пожилые;
(Характеристики товара (Зоотовары))Форма упаковки:Коробка;
(Характеристики товара (Зоотовары))Вес упаковки:350 г;
(Характеристики товара (Зоотовары))";"Это вкусное блюдо, приготовленное с учетом потребностей, свойственных возрасту Вашей любимицы. Хрустящие подушечки с нежным паштетом внутри обязательно придутся по вкусу Вашей любимице. Кроме того, корм Whiskas® содержит все необходимое, чтобы еда Вашей кошки была не только вкусной, но и полезной. </p>


Ингредиенты:   Пшеничная мука, мука животного происхождения: мука из птицы (минимум 4% в коричневых гранулах), мука мясокостная; белковые растительные экстракты, рис, жир животный, подсолнечное масло, пивные дрожжи, витамины, минеральные вещества и таурин.

ОСОБЕННОСТИ ПРОДУКТА:
<li> Витамин Е для поддержания иммунитета
<li> Высокоусваиваемые ингредиенты для здорового пищеварения
<li> Таурин для здоровья сердца
<li> Жирные кислоты Омега-6 и цинк для здоровья кожи и шерсти
<li> Источник глюкозамина для здоровья суставов
<li> Специальная формула для хорошего аппетита
<li> Сбалансированный рацион для поддержания веса";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/whiskas-suhoj-korm-dlya-koshek-starshe-goda-podushechki-s-pashtetom-iz-govyadini-i-myasa-krolika-08-kg.jpg;
/storage/photo/original/h/whiskas-suhoj-korm-dlya-koshek-starshe-goda-podushechki-s-pashtetom-iz-govyadini-i-myasa-krolika-08-kg_44.jpg";"WHISKAS сухой корм для кошек старше года подушечки с паштетом из говядины и мяса кролика 0,8 кг";610462;"WHISKAS";239;0;185;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:Вкусные подушечки;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:800 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:800 г;
(Характеристики товара (Зоотовары))";"Это сбалансированный рацион для здоровой и счастливой жизни Вашей кошки. Хрустящие подушечки со сметаной и овощами обязательно придутся по вкусу Вашей любимице. Кроме того, рацион Whiskas содержит все необходимое, чтобы еда Вашей кошки была не только вкусной, но и полезной. Рационы Whiskas это - оптимальное сочетание питательных веществ и нутриентов для подержания обмена веществ, витамин Е и цинк для иммунитета, омега-6 и цинк для здоровья кожи и шерсти, баланс кальция и фосфора для здоровья костей, витамин А и таурин для хорошего зрения, высокоусваиваемые ингредиенты и клетчатка для пищеварения, сухая текстура корма для удаления зубного налета.

Рекомендации по кормлению:  Бренд Whiskas® рекомендует сочетать разные форматы корма в рационе Вашей кошки. Утром и вечером Вашей любимице нужно давать влажный рацион, а в течение дня — сухой. Это позволит объединить преимущества каждого из форматов, ведь ее рацион должен быть не только вкусным, но и тщательно сбалансированным. Нужно помнить, что смешивать в одной миске сухой и влажный рационы не рекомендуется. Кроме того, у вашей любимицы всегда должен быть доступ к чистой питьевой воде. Рационы Whiskas содержат все необходимые витамины и минералы, белки, жиры и углеводы, чтобы поддержать здоровье Вашей кошки от усов до кончика хвоста.";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
;"КУБАНОЧКА огурцы маринованые Корнишоны 1-4 см 0,36 кг";160035;"КУБАНОЧКА";78;0;60;"(Характеристики товара (Продукты))Тип товара:Огурцы маринованные;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4607030000000;
(Характеристики товара (Продукты))Вес:360 г;
(Характеристики товара (Продукты))";"Рекомендуется употреблять в качестве самостоятельной закуски, а также добавлять в салаты и использовать для приготовления канапе.";"Продукты/Консервированная продукция/Овощи, грибы консервированные";"Продукты/Консервированная продукция/Овощи, грибы консервированные";1
;"КУБАНОЧКА томаты маринованные 0,72 л";160038;"КУБАНОЧКА";74;0;66;"(Характеристики товара (Продукты))Тип товара:Томаты маринованные;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4607030000000;
(Характеристики товара (Продукты))Объем:720 мл;
(Характеристики товара (Продукты))";"Бесподобная закуска, приготовленная из сочных краснодарских помидорчиков по оригинальному рецепту. Ароматный зелень придает маринованным томатам яркие пряные нотки. Особенно хорошо сочетается с блюдами из вареного картофеля, печеным мясом и крепкими напитками.";"Продукты/Консервированная продукция/Овощи, грибы консервированные";"Продукты/Консервированная продукция/Овощи, грибы консервированные";1
;"МИФ Гель для стирки Свежесть Лаванды и Ромашки 0,78 л";410382;"МИФ";195;0;142;"(Характеристики товара (Бытовая химия))Объем:780 мл;
(Характеристики товара (Бытовая химия))Серия:Свежесть Лаванды и Ромашки;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Тип товара:Гель для стирки;
(Характеристики товара (Бытовая химия))Страна происхождения:Франция;
(Характеристики товара (Бытовая химия))EAN:8001090000000;
(Характеристики товара (Бытовая химия))";"Миф поможет вам справиться с такой сложной задачей, как стирка для всей семьи. Он прекрасно удалит пятна, придаст свежесть вашим вещам, а стоит недорого! Умное предложение с тремя преимуществами в одном флаконе, которое прослужит дольше, чем 4 кг стирального порошка Миф. И Вся семья будет счастлива!  Благодаря Мифу нет необходимости тратить много денег, чтобы белье было чистым и свежим!
Состав: 5-15% анионные ПАВ, <5% неионогенные ПАВ, мыло, энзимы, консерванты, ароматизирующие добавки, цитраль, лимонен.";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";1
;"ЧИСТАЯ ЛИНИЯ Шампунь Пшеница и отвар Льна для Тонких и ослабленных волос 250 мл";520827;"ЧИСТАЯ ЛИНИЯ";122;0;98;"(Характеристики товара (Косметика и уход))Тип товара:Шампунь;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4600700000000;
(Характеристики товара (Косметика и уход))Объем:250 мл;
(Характеристики товара (Косметика и уход))";"Шампуни и Бальзамы ЧИСТАЯ ЛИНИЯ со знаком ЭКОконтроль гарантируют экологическую чистоту и пользу входящих трав.
Травы в составе продуктов ЧИСТАЯ ЛИНИЯ имеют паспорт качества и проходят многоступенчатый контроль экологической чистоты. ЧИСТАЯ ЛИНИЯ гарантирует эффективность: следит за соблюдением уровня активных веществ, использует только самые эффективные части растений, занимается клиническими исследованиями отвара трав.
Шампунь “Объем и сила” с экстрактом пшеницы и отваров льна интенсивно увлажняет и питает кожу головы. Активные натуральные компоненты средства ухаживают и восстанавливают волосы, образуют невидимый каркас вокруг каждого волоса, поддерживающий объем от корней без утяжеления. Применение: Небольшое количество нанесите на влажные волосы, вспеньте, смойте водой.</p>ОСОБЕННОСТИ ПРОДУКТА:<li>Красивый и здоровый внешний вид волос</li><li>Объем от самых корней</li>";"Косметика и Уход/Уход за волосами/Шампуни";"Косметика и Уход/Уход за волосами/Шампуни";1
;"OREO печенье  шоколад 228 г";140146;"OREO";72;0;58;;"CB-00008068";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1
;"PERFECT FIT Sensitive Сухой корм с индейкой для взрослых кошек с чувствительным пищеварением 2,5кг";620400;"PERFECT FIT";829;;663;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))";"""Perfect Fit"" - рацион, адаптированный специально для кошек с особенностями пищеварения. Он содержит пребиотики, способствующие поддержанию здоровой микрофлоры кишечника, и не содержит пшеницы и сои, которые могут вызвать дискомфорт в желудке кошки. Вашу кошку следует кормить кормом комнатной температуры.</p>";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
;"ROYAL CANIN сухой корм X-Small Puppy для щенков миниатюрных пород 0,5 кг";620204;"ROYAL CANIN";378;0;291;;"CB-00033559";"Зоотовары/Товары для собак/Корма для собак";"Зоотовары/Товары для собак/Корма для собак";1
;"TIDE стиральный порошок Color автомат 0,45 кг";410502;"TIDE";99;0;76;"(Характеристики товара (Бытовая химия))Серия:Color;
(Характеристики товара (Бытовая химия))Вес:450 г;
(Характеристики товара (Бытовая химия))Фасовка:0,3 - 1 кг;
(Характеристики товара (Бытовая химия))Тип белья:Цветное;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Тип товара:Стиральный порошок;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:5413150000000;
(Характеристики товара (Бытовая химия))";"<p>
Стиральный порошок для стирки повседневной одежды в автоматических машинах любого типа, рекомендован для частого применения. Широко применяется на синтетике, хлопке, льняных изделиях. Требует избирательного подхода к изделиям из деликатных тканей. Качественно отстирывает все трудновыводимые пятна, не влияя на цвет, и в некоторых случаях делает его более ярким. Предотвращает образование катышек и износ ткани. Благодаря входящим в состав компонентов эффективно борется даже со стойкими пятнами, сохраняя структуру ткани. Не содержит в своем составе хлорсодержащих веществ. Отлично работает при любых режимах стирки и даже в холодной воде. После стирки белье обретает приятный аромат, сохраняющийся надолго. Обладает низким уровнем пенообразования, тем самым продлевает срок службы вашей машины. Дополнительно препятствует образованию накипи и известкового налета, за счет содержащихся защитных компонентов в его структуре.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Отлично справляется с любыми видами загрязнений на одежде.
<li>Применяется в отношении синтетики и изделий из натурального волокна, за исключением деликатных тканей.
<li>Предназначен для стирки цветных вещей.
<li>Хорошо выполаскивается.
<li>Стирает в жесткой воде.
<li>Придает белью мягкость и приятный аромат в течение 7 дней.
<li>Может применяться и в сочетании с кондиционером.
<li>Практичная упаковка 450 г рассчитана на 3 стирки.";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";1
